,DXT_200,FDM_200,SDM_200,DXT_400,FDM_400,SDM_400,DXT_600,FDM_600,SDM_600,SED_AVE,SED_STD,SED_GRD,V_UP,V_TN,AGE,FRE_DG_AVE,FRE_DG_STD,EGR_DG_AVE,EGR_DG_STD,SRO_DG_AVE,SRO_DG_STD,IRO_DG_AVE,IRO_DG_STD,LRO_DG_AVE,LRO_DG_STD,CRD_UP_AVE,CRD_UP_STD,CRS_UP_AVE,CRS_UP_STD,CRM_UP_AVE,CRM_UP_STD,FRE_UP_AVE,FRE_UP_STD,EGO_UP_AVE,EGO_UP_STD,EGO_L_UP_AVE,EGO_L_UP_STD,EGO_SL_UP_AVE,EGO_SL_UP_STD,EGO_UM_UP_AVE,EGO_UM_UP_STD,EGR_UP_AVE,EGR_UP_STD,EGR_BG_UP_AVE,EGR_BG_UP_STD,INV_UP_AVE,INV_UP_STD,DLT_UP_AVE,DLT_UP_STD,MR_GCMT
0,576.2145,0.1922274184874081,0.0010580072599595,581.2392,0.1219409457338562,0.0002857759586382,586.3114,0.0910353892789918,8.828355534361248e-05,309.66665903716665,48.95803182049718,0.0005697485442741,38.6,27.4,19.0,23.8678094344,27.2346239551,25.2663603991,25.9808434652,171.7888785047,52.3586105234,858.6260747664,420.8168266259,330.252,195.0792943073,2.2109e-06,1.6875e-06,-2.47e-07,1.512e-07,1.2544e-06,1.0043e-06,17.9826739701,124.7729311938,18.4588068378,7.2217285425,-2.6626332248,5.9213566675,-1.3240962607,6.7752483952,12.5980698678,7.1834587347,13.2487180566,113.5941335835,-14.6602938572,74.7042655666,162.060143912,89.7615112061,-146.9074155252,94.3293542678,7.2
1,596.4651,0.2028467075296707,0.000471504723328,593.7444,0.1261407871557036,6.990403903708032e-05,595.5037,0.092064794611554,2.943072269085905e-05,366.6415134645849,34.917744970714914,0.0005697485442741,38.6,27.4,19.0,18.9021375899,24.7165616377,19.1486720095,24.2305465019,167.1842307692,60.2391109805,623.1256730769,326.7087746131,253.0157692308,189.7168098706,2.1183e-06,1.6269e-06,6.92e-08,1.453e-07,1.2237e-06,9.21e-07,-0.6419747866,96.8690741419,18.6428942124,7.0794529779,-2.7256800955,5.6681297941,-1.7451460784,6.558722489,12.1433883866,7.1661791211,-2.7379435571,90.7734224414,-26.7398347283,67.5466403529,194.0215289706,95.9684916293,-151.2188243072,101.8663318697,8.35
2,615.7977,0.1779848375232505,0.0016626602335127,606.3113,0.1237820051755525,0.0002364487616347,604.6554,0.0904565772069413,0.0001228387709602,398.68627989531376,8.047628148124081,0.0003204476643072,38.6,27.4,19.0,15.0853432569,28.5595712808,16.577721612,26.9316439393,144.4277011494,52.4204204902,631.2527586207,283.1555646624,374.0655172414,207.3022588372,1.9211e-06,1.5678e-06,2.569e-07,2.38e-07,1.2961e-06,7.612e-07,10.3738548603,93.2972301865,18.832784624,6.7681349658,-2.2752697098,5.2098508623,-1.8615568635,6.1227215701,11.3681309528,6.5388948195,10.1266429272,86.6126463319,-9.5021477541,64.3594356386,162.9996086689,67.5199731176,-137.2278596594,60.4106146785,8.35
3,631.0517,0.1284750499521643,0.0021966916317465,618.2903,0.1152055711516782,0.0004649413438665,613.5003,0.0862222087194862,0.0002248669272138,402.5517220332414,5.480917120710442,3.865442137927666e-05,35.9,33.0,15.0,22.5460682276,29.2251331367,22.1402427745,28.5723393017,188.9561029412,48.0046891578,937.3248529412,410.9211910344,666.8693382353,370.9764321438,1.819e-06,1.707e-06,1.355e-07,2.027e-07,1.3338e-06,7.824e-07,18.4648406008,73.0103819949,18.4431533241,5.7271077755,-1.9812683773,4.0845237146,-2.1334684651,5.0237724585,10.3541753578,5.4659079331,18.8505549359,65.8533714345,17.5204646423,60.4862290755,157.1223807198,70.528014196,-129.1399559669,68.0922917058,8.35
4,640.9043,0.0759020791997973,0.0018549791689782,629.1124,0.1015013088475073,0.0006384798938622,621.7842,0.0795415074847532,0.0003166591514089,422.8833358765167,33.15524144259087,0.0002033161384327,35.9,33.0,15.0,23.0502105888,32.4434571465,23.1948133613,30.1179442316,221.2904929577,39.548156495,937.9122535211,322.7017580782,642.8291549296,279.0065298481,1.7517e-06,1.8281e-06,2.08e-08,1.043e-07,1.3299e-06,9.149e-07,27.0563122122,83.8764800946,18.1942660048,5.3783623908,-1.6400215307,3.6473049782,-2.0981747142,4.6264865682,9.5546174278,4.8650481138,26.9159711067,76.4143327177,17.6281314099,70.2977850837,149.1184718874,77.4226765067,-118.7715772721,60.910494361,8.35
5,646.1621,0.0379366763786635,0.0010886503588113,638.3447,0.0841808493701332,0.0007471529252218,629.2778,0.0707253192079045,0.0003935395900246,486.66154268704616,72.25473453064112,0.0006377820681052,35.9,33.0,15.0,18.6576969835,29.8906490919,18.9476253669,29.1930595917,184.8010240964,77.1216709549,719.0018674699,272.979427705,563.3977710843,124.7486896055,1.8658e-06,1.8974e-06,3.28e-08,7.64e-08,1.1736e-06,9.83e-07,7.7930219968,50.5887619107,17.149599381,4.8847338681,-2.0396707314,3.0730214571,-2.7041536102,4.0596770849,8.14637473,4.6207230598,9.4138071855,48.8485230769,19.9883127503,58.4228647217,166.4517502104,78.6813160235,-130.632365976,62.9609467967,8.35
6,648.6788,0.0182276957468908,0.0004946110861988,645.7155,0.0648678228145834,0.0007926329494441,635.7894,0.0601879325635205,0.0004520563286652,523.6250054495714,70.72900478675682,0.0003696346276252,35.9,33.0,15.0,12.8109998928,36.7940326689,13.1477344357,33.6779798096,191.7277310924,93.3350474442,675.7971428571,302.3830858869,600.2062184874,164.2509875032,1.4867e-06,1.9695e-06,1.144e-07,1.279e-07,7.109e-07,1.07e-06,7.8801192514,70.6045180262,18.2552975741,5.7194267912,-1.1034452967,3.9323488281,-1.3886675149,4.8672777012,8.8635676189,5.4044542652,7.9151516264,63.0328817388,-4.9207001464,59.4794101466,152.0903479836,97.7782002839,-110.5890418214,72.1344949963,8.35
7,649.9111,0.008362624218019,0.0003518786940269,651.1099,0.0450448020171902,0.0007846651077879,641.1729,0.048415262728002,0.0004900662876709,524.7307756864808,69.0841445810117,1.105770236909387e-05,38.2,25.2,12.0,7.4961745455,30.0294742708,8.0714760158,28.4341923024,193.8186170213,96.3677854004,650.7430851064,214.7149630697,431.5914893617,204.9210731921,1.1058e-06,2.104e-06,2.326e-07,1.96e-07,3.325e-07,1.2143e-06,40.9775760457,111.0284686305,19.3449823206,6.4659945956,0.2922147369,4.7472269883,0.3370020401,5.6293936252,9.3624405615,6.0657851151,36.4379831823,97.8494954415,-16.3287136389,58.503684442,140.5377961521,100.0640449502,-89.5301351547,63.9022543708,8.35
8,650.236,0.0031759850616971,0.0004749548370845,654.5465,0.0258971368780733,0.0007370822597423,645.3333,0.0359321187219616,0.0005067239008725,494.6833404541167,70.30374535604392,0.0003004743523236,38.2,25.2,12.0,8.9779608315,25.7028295225,9.8011146671,21.1311340722,210.0109868421,133.9916499596,609.0325,196.765319494,368.5093421053,185.5821774411,1.2252e-06,2.1943e-06,2.257e-07,1.906e-07,4.313e-07,1.1833e-06,28.7035783576,74.9112333664,18.2046751295,5.8418589843,0.0576309844,4.0616827908,0.1834173009,4.9644424745,7.9581059161,5.3931880435,27.6430620338,69.7271952087,2.2336069991,76.5634715634,149.5288235849,93.446710572,-118.3162826153,80.1897567705,8.35
9,649.3879,0.0140818859912419,0.000466260865577,656.1428,0.0082483056586139,0.0006646607611986,648.2289,0.0232703905446664,0.0005024171616126,417.5081957207213,27.93295596400365,0.0007717514473339,38.2,25.2,12.0,9.3831582225,27.3631428071,10.1738752849,24.0836227042,179.8453424658,74.0779748307,837.8930136986,160.8553651848,482.9984246575,192.8220155633,9.443e-07,2.3153e-06,1.292e-07,2.024e-07,2.956e-07,1.1849e-06,54.2980331174,73.8895295878,19.1581766294,5.6038315652,1.2554500236,3.7674219803,1.7920500439,4.6245196191,8.6525270045,5.1726741417,51.4042422538,60.9070123764,-6.6997647336,74.5702247667,151.0433997819,133.9394298214,-104.164488153,103.7953704702,8.35
